Release Date,Album,Album Link,Track,Track Link
3/1/1974,Rush,https://en.wikipedia.org/wiki/Rush_(Rush_album),,
,,,Finding My Way,
,,,Need Some Love,
,,,Take a Friend,
,,,Here Again,
,,,What You're Doing,
,,,In the Mood,https://en.wikipedia.org/wiki/In_the_Mood_(Rush_song)
,,,Before and After,
,,,Working Man,https://en.wikipedia.org/wiki/Working_Man
2/15/1975,Fly By Night,https://en.wikipedia.org/wiki/Fly_by_Night_(album),,
,,,Anthem,
,,,Best I Can,
,,,"Beneath, Between and Behind",
,,,By-Tor and the Snow Dog,
,,,Fly By Night,https://en.wikipedia.org/wiki/Fly_by_Night_(Rush_song)
,,,Making Memories,
,,,Rivendell,
,,,In the End,
7/24/1975,Carress of Steel,https://en.wikipedia.org/wiki/Caress_of_Steel,,
,,,Bastille Day,https://en.wikipedia.org/wiki/Bastille_Day_(song)
,,,I Think I'm Going Bald,
,,,Lakeside Park,https://en.wikipedia.org/wiki/Lakeside_Park_(song)
,,,The Necromancer,
,,,The Fountain of Lamneth,
4/1/1976,2112,https://en.wikipedia.org/wiki/2112_(album),,
,,,2112,https://en.wikipedia.org/wiki/2112_(song)
,,,A Passage to Bangkok,https://en.wikipedia.org/wiki/A_Passage_to_Bangkok
,,,The Twilight Zone,https://en.wikipedia.org/wiki/The_Twilight_Zone_(Rush_song)
,,,Lessons,
,,,Tears,https://en.wikipedia.org/wiki/Tears_(Rush_song)
,,,Something for Nothing,
7/29/1976,All the World's a Stage,https://en.wikipedia.org/wiki/All_the_World%27s_a_Stage_(album),,
9/1/1977,A Farewell to Kings,https://en.wikipedia.org/wiki/A_Farewell_to_Kings,,
,,,A Farewell to Kings,https://en.wikipedia.org/wiki/A_Farewell_to_Kings_(song)
,,,Xanadu,https://en.wikipedia.org/wiki/Xanadu_(Rush_song)
,,,Closer to the Heart,https://en.wikipedia.org/wiki/Closer_to_the_Heart
,,,Cinderella Man,
,,,Madrigal,
,,,Cygnus X-1 Book I: The Voyage,https://en.wikipedia.org/wiki/Cygnus_X-1_(song_series)
10/29/1978,Hemispheres,https://en.wikipedia.org/wiki/Hemispheres_(Rush_album),,
,,,Cygnus X-1 Book II: Hemispheres,https://en.wikipedia.org/wiki/Cygnus_X-1_(song_series)#Book_II:_Hemispheres
,,,Circumstances,https://en.wikipedia.org/wiki/Circumstances_(song)
,,,The Trees,https://en.wikipedia.org/wiki/The_Trees_(Rush_song)
,,,La Villa Strangiato,https://en.wikipedia.org/wiki/List_of_Rush_instrumentals#La_Villa_Strangiato
1/14/1980,Permanent Waves,https://en.wikipedia.org/wiki/Permanent_Waves,,
,,,The Spirit of Radio,https://en.wikipedia.org/wiki/The_Spirit_of_Radio
,,,Freewill,https://en.wikipedia.org/wiki/Freewill_(song)
,,,Jacob's Ladder,https://en.wikipedia.org/wiki/Jacob%27s_Ladder_(Rush_song)
,,,Entre Nous,https://en.wikipedia.org/wiki/Entre_Nous_(Rush_song)
,,,Different Strings,
,,,Natural Science,https://en.wikipedia.org/wiki/Natural_Science_(song)
2/12/1981,Moving Pictures,https://en.wikipedia.org/wiki/Moving_Pictures_(Rush_album),,
,,,Tom Sawyer,https://en.wikipedia.org/wiki/Tom_Sawyer_(song)
,,,Red Barchetta,https://en.wikipedia.org/wiki/Red_Barchetta
,,,YYZ,https://en.wikipedia.org/wiki/YYZ_(song)
,,,Limelight,https://en.wikipedia.org/wiki/Limelight_(Rush_song)
,,,The Camera Eye,
,,,Witch Hunt,https://en.wikipedia.org/wiki/Witch_Hunt_(Rush_song)
,,,Vital Signs,https://en.wikipedia.org/wiki/Vital_Signs_(Rush_song)
8/29/1981,Exit... Stage Left,https://en.wikipedia.org/wiki/Exit..._Stage_Left,,
9/9/1982,Signals,https://en.wikipedia.org/wiki/Signals_(Rush_album),,
,,,Subdivisions,https://en.wikipedia.org/wiki/Subdivisions_(song)
,,,The Analog Kid,https://en.wikipedia.org/wiki/The_Analog_Kid
,,,Chemistry,
,,,Digital Man,
,,,The Weapon,
,,,New World Man,https://en.wikipedia.org/wiki/New_World_Man
,,,Losing It,
,,,Countdown,https://en.wikipedia.org/wiki/Countdown_(Rush_song)
4/12/1984,Grace Under Pressure,https://en.wikipedia.org/wiki/Grace_Under_Pressure_(Rush_album),,
,,,Distant Early Warning,
,,,Afterimage,https://en.wikipedia.org/wiki/Afterimage_(song)
,,,Red Sector A,https://en.wikipedia.org/wiki/Red_Sector_A
,,,The Enemy Within,
,,,The Body Electric,
,,,Kid Gloves,
,,,Red Lenses,https://en.wikipedia.org/wiki/Red_Lenses
,,,Between the Wheels,https://en.wikipedia.org/wiki/Between_the_Wheels
10/11/1985,Power Windows,https://en.wikipedia.org/wiki/Power_Windows_(album),,
,,,The Big Money,https://en.wikipedia.org/wiki/The_Big_Money
,,,Grand Designs,
,,,Manhattan Project,https://en.wikipedia.org/wiki/Manhattan_Project_(song)
,,,Marathon,https://en.wikipedia.org/wiki/Marathon_(Rush_song)
,,,Territories,
,,,Middletown Dreams,
,,,Emotion Detector,
,,,Mystic Rhythms,https://en.wikipedia.org/wiki/Mystic_Rhythms
9/8/1987,Hold Your Fire,https://en.wikipedia.org/wiki/Hold_Your_Fire,,
,,,Foce Ten,https://en.wikipedia.org/wiki/Force_Ten_(song)
,,,Time Stand Still,https://en.wikipedia.org/wiki/Time_Stand_Still_(song)
,,,Open Secrets,
,,,Second Nature,
,,,Prime Mover,
,,,Lock and Key,https://en.wikipedia.org/wiki/Lock_and_Key_(Rush_song)
,,,Mission,https://en.wikipedia.org/wiki/Mission_(song)
,,,Turn the Page,
,,,Tai Shan,
,,,High Water,
1/9/1989,A Show of Hands,https://en.wikipedia.org/wiki/A_Show_of_Hands,,
11/21/1989,Presto,https://en.wikipedia.org/wiki/Presto_(album),,
,,,Show Don't Tell,https://en.wikipedia.org/wiki/Show_Don%27t_Tell
,,,Chain Lightning,
,,,The Pass,https://en.wikipedia.org/wiki/The_Pass_(song)
,,,War Paint,
,,,Scars,
,,,Presto,
,,,Superconductor,
,,,Anagram (For Mongo),
,,,Red Tide,
,,,Hand Over Fist,
,,,Available Light,
9/4/1990,Chronicles,https://en.wikipedia.org/wiki/Chronicles_(Rush_album),,
9/3/1991,Roll the Bones,https://en.wikipedia.org/wiki/Roll_the_Bones,,
,,,Dreamline,https://en.wikipedia.org/wiki/Dreamline
,,,Bravado,
,,,Roll the Bones,https://en.wikipedia.org/wiki/Roll_the_Bones_(song)
,,,Face Up,
,,,Where's My Thing,https://en.wikipedia.org/wiki/List_of_Rush_instrumentals#Where's_My_Thing?
,,,The Big Wheel,
,,,Heresy,https://en.wikipedia.org/wiki/Heresy_(Rush_song)
,,,Ghost of a Chance,https://en.wikipedia.org/wiki/Ghost_of_a_Chance_(Rush_song)
,,,Neurotica,
,,,You Bet Your Life,
10/19/1993,Counterparts,https://en.wikipedia.org/wiki/Counterparts_(Rush_album),,
,,,Animate,https://en.wikipedia.org/wiki/Animate_(song)
,,,Stick it Out,https://en.wikipedia.org/wiki/Stick_It_Out_(Rush_song)
,,,Cut to the Chase,
,,,Nobody's Hero,https://en.wikipedia.org/wiki/Nobody%27s_Hero
,,,Between Sun and Moon,
,,,Alien Shore,
,,,The Speed of Love,
,,,Double Agent,
,,,Leave that Thing Alone,https://en.wikipedia.org/wiki/List_of_Rush_instrumentals#Leave_That_Thing_Alone
,,,Cold Fire,https://en.wikipedia.org/wiki/Cold_Fire_(song)
,,,Everyday Glory,
9/10/1996,Test for Echo,https://en.wikipedia.org/wiki/Test_for_Echo,,
,,,Test for Echo,https://en.wikipedia.org/wiki/Test_for_Echo_(song)
,,,Driven,https://en.wikipedia.org/wiki/Driven_(Rush_song)
,,,Half the World,https://en.wikipedia.org/wiki/Half_the_World_(Rush_song)
,,,The Color of Right,
,,,Time and Motion,
,,,Totem,
,,,Dog Years,
,,,Virtuality,
,,,Resist,
,,,Limbo,https://en.wikipedia.org/wiki/List_of_Rush_instrumentals#Limbo
,,,Carve Away the Stone,
5/6/1997,Restrospective I,https://en.wikipedia.org/wiki/Retrospective_I,,
6/3/1997,Retrospective II,https://en.wikipedia.org/wiki/Retrospective_II,,
11/10/1998,Different Stages,https://en.wikipedia.org/wiki/Different_Stages_(Rush_album),,
5/14/2002,Vapor Trails,https://en.wikipedia.org/wiki/Vapor_Trails,,
,,,One Little Victory,https://en.wikipedia.org/wiki/One_Little_Victory
,,,Ceiling Unlimited,
,,,Ghost Rider,
,,,Peacable Kingdom,
,,,The Stars Look Down,
,,,How it Is,
,,,Vapor Trail,
,,,Secret Touch,https://en.wikipedia.org/wiki/Secret_Touch
,,,Earthshine,
,,,Sweet Miracle,
,,,Nocturne,
,,,Freeze,
,,,Out of the Cradle,
2/11/2003,The Spirit of Radio: Greatest Hits 1974–1987,https://en.wikipedia.org/wiki/The_Spirit_of_Radio:_Greatest_Hits_1974%E2%80%931987,,
11/21/2003,Rush in Rio,https://en.wikipedia.org/wiki/Rush_in_Rio,,
11/22/2005,R30,https://en.wikipedia.org/wiki/R30:_30th_Anniversary_World_Tour,,
4/25/2006,Gold,https://en.wikipedia.org/wiki/Gold_(Rush_album),,
